movie_quote,movie_name,movie_star
希望让人自由。,"肖申克的救赎, / The Shawshank Redemption, / 月黑高飞(港)  /  刺激1995(台)",9.6
风华绝代。,"霸王别姬, / 再见，我的妾  /  Farewell My Concubine",9.5
怪蜀黍和小萝莉不得不说的故事。,"这个杀手不太冷, / Léon, / 杀手莱昂  /  终极追杀令(台)",9.4
一部美国近现代史。,"阿甘正传, / Forrest Gump, / 福雷斯特·冈普",9.4
最美的谎言。,"美丽人生, / La vita è bella, / 一个快乐的传说(港)  /  Life Is Beautiful",9.5
最好的宫崎骏，最好的久石让。 ,"千与千寻, / 千と千尋の神隠し, / 神隐少女(台)  /  Spirited Away",9.2
拯救一个人，就是拯救整个世界。,"辛德勒的名单, / Schindler's List, / 舒特拉的名单(港)  /  辛德勒名单",9.4
失去的才是永恒的。 ,"泰坦尼克号, / Titanic, / 铁达尼号(港 / 台)",9.2
诺兰给了我们一场无法盗取的梦。,"盗梦空间, / Inception, / 潜行凶间(港)  /  全面启动(台)",9.2
小瓦力，大人生。,"机器人总动员, / WALL·E, / 瓦力(台)  /  太空奇兵·威E(港)",9.3
每个人都要走一条自己坚定了的路，就算是粉身碎骨。 ,"海上钢琴师, / La leggenda del pianista sull'oceano, / 声光伴我飞(港)  /  一九零零的传奇",9.2
英俊版憨豆，高情商版谢耳朵。,"三傻大闹宝莱坞, / 3 Idiots, / 三个傻瓜(台)  /  作死不离3兄弟(港)",9.1
永远都不能忘记你所爱的人。,"忠犬八公的故事, / Hachi: A Dog's Tale, / 忠犬小八(台)  /  秋田犬八千(港)",9.2
天籁一般的童声，是最接近上帝的存在。 ,"放牛班的春天, / Les choristes, / 歌声伴我心(港)  /  唱诗班男孩",9.2
一生所爱。,"大话西游之大圣娶亲, / 西遊記大結局之仙履奇緣, / 西游记完结篇仙履奇缘  /  齐天大圣西游记",9.2
千万不要记恨你的对手，这样会让你失去理智。,"教父, / The Godfather, / Mario Puzo's The Godfather",9.2
人人心中都有个龙猫，童年就永远不会消失。,"龙猫, / となりのトトロ, / 邻家的豆豆龙  /  隔壁的特特罗",9.1
如果再也不能见到你，祝你早安，午安，晚安。,"楚门的世界, / The Truman Show, / 真人Show(港)  /  真人戏",9.1
Tomorrow is another day.,"乱世佳人, / Gone with the Wind, / 飘",9.2
那些吻戏，那些青春，都在影院的黑暗里被泪水冲刷得无比清晰。,"天堂电影院, / Nuovo Cinema Paradiso, / 星光伴我心(港)  /  新天堂乐园(台)",9.1
满满温情的高雅喜剧。,"触不可及, / Intouchables, / 闪亮人生(港)  /  逆转人生(台)",9.1
平民励志片。 ,"当幸福来敲门, / The Pursuit of Happyness, / 寻找快乐的故事(港)  /  追求快乐",8.9
我们一路奋战不是为了改变世界，而是为了不让世界改变我们。,"熔炉, / 도가니, / 无声呐喊(港)  /  漩涡",9.2
香港电影史上永不过时的杰作。,"无间道, / 無間道, / Infernal Affairs  /  Mou gaan dou",9.0
邪恶与平庸蛰伏于同一个母体，在特定的时间互相对峙。,"搏击俱乐部, / Fight Club, / 搏击会(港)  /  斗阵俱乐部(台)",9.0
1957年的理想主义。 ,"十二怒汉, / 12 Angry Men, / 12怒汉  /  十二怒汉",9.4
爱是一种力量，让我们超越时空感知它的存在。,"星际穿越, / Interstellar, / 星际启示录(港)  /  星际效应(台)",9.1
真正的幸福是来自内心深处。,"怦然心动, / Flipped, / 萌动青春  /  青春萌动",8.9
史诗的终章。,"指环王3：王者无敌, / The Lord of the Rings: The Return of the King, / 魔戒三部曲：王者再临(台 / 港) ",9.1
瑰丽壮观、无人能及的冒险之旅。,"少年派的奇幻漂流, / Life of Pi, / 少年Pi的奇幻漂流  /  漂流少年Pi",9.0
对天空的追逐，永不停止。 ,"天空之城, / 天空の城ラピュタ, / Tenkû no shiro Rapyuta  /  Laputa: Castle in the Sky",9.0
对敌人的仁慈，就是对自己残忍。,"鬼子来了, / Devils on the Doorstep",9.2
无尽的黑暗。,"蝙蝠侠：黑暗骑士, / The Dark Knight, / 蝙蝠侠前传2：黑暗骑士  /  黑暗骑士(台)",9.0
